Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.1551,-75.56372,DE5_R_0_3,58.2,DE,5,0,0.3,0.67,,DE5_R_0_3,-46.56,0.03,-365.9,0.28,,,
-3.1551,-75.56372,DE5_R_0_6,50.7,DE,5,0,0.67,1,,DE5_R_0_6,-45.19,0.01,-357.7,0.20,,,
-3.1551,-75.56372,DE5_R_1_0,,DE,5,10,0,0.33,,DE5_R_1_0,-44.41,0.04,-347.9,0.32,,,
-3.1551,-75.56372,DE5_R_1_3,,DE,5,10,0.3,0.67,,DE5_R_1_3,-45.67,0.03,-357.8,0.10,,,
-3.1551,-75.56372,DE5_R_1_6,,DE,5,10,0.67,1,,DE5_R_1_6,-43.91,0.04,-345.4,0.22,,,
-3.1551,-75.56372,DE5_R_2_0,,DE,5,20,0,0.33,,DE5_R_2_0,-43.87,0.03,-344.5,0.26,,,
-3.1551,-75.56372,DE5_R_2_3,,DE,5,20,0.3,0.67,,DE5_R_2_3,-44.74,0.02,-350.9,0.23,,,
-3.1551,-75.56372,DE5_R_2_6,,DE,5,20,0.67,1,,DE5_R_2_6,-45.69,0.03,-360.1,0.22,,,
-3.1551,-75.56372,DE5_R_3_0,,DE,5,30,0,0.33,,DE5_R_3_0,-43.42,0.05,-342.1,0.42,,,
-3.1551,-75.56372,DE5_R_3_3,,DE,5,30,0.3,0.67,,DE5_R_3_3,-42.49,0.05,-334.1,0.39,,,
-3.1551,-75.56372,DE5_R_3_6,,DE,5,30,0.67,1,,DE5_R_3_6,-48.94,0.05,-384.3,0.42,,,
-3.1551,-75.56372,DE5_R_4_0,,DE,5,40,0,0.33,,DE5_R_4_0,-43.72,0.02,-344.4,0.18,,,
-3.1551,-75.56372,DE5_R_4_3,,DE,5,40,0.3,0.67,,DE5_R_4_3,-44.86,0.05,-354.2,0.43,,,
-3.1551,-75.56372,DE5_R_4_6,,DE,5,40,0.67,1,,DE5_R_4_6,-43.66,0.01,-343.1,0.13,,,
-3.1551,-75.56372,DE5_R_5_0,,DE,5,50,0,0.33,,DE5_R_5_0,-43.88,0.02,-344.9,0.20,,,
-3.1551,-75.56372,DE5_R_5_3,,DE,5,50,0.3,0.67,,DE5_R_5_3,-46.78,0.06,-372.3,0.36,,,
-3.1551,-75.56372,DE5_R_5_6,,DE,5,50,0.67,1,,DE5_R_5_6,-47.79,0.04,-374.1,0.26,,,
-3.1551,-75.56372,DE5_R_6_0,,DE,5,60,0,0.33,,DE5_R_6_0,-45.57,0.04,-357.9,0.22,,,
-3.1551,-75.56372,DE5_R_6_3,,DE,5,60,0.3,0.67,,DE5_R_6_3NN,-44.12,0.02,-347.7,0.12,,,
-3.1551,-75.56372,DE5_R_6_6,,DE,5,60,0.67,1,,DE5_R_6_6N,-47.29,0.07,-371.6,0.35,,,
-3.1551,-75.56372,DE5_R_7_0,,DE,5,70,0,0.33,,DE5_R_7_0NN,-42.79,0.03,-335.4,0.08,,,
-3.1551,-75.56372,DE5_R_7_3,,DE,5,70,0.3,0.67,,DE5_R_7_3NN,-44.25,0.02,-347.6,0.14,,,
-3.1551,-75.56372,DE5_R_7_6,,DE,5,70,0.67,1,,DE5_R_7_6N,-47.70,0.09,-374.4,0.48,,,
-3.1551,-75.56372,DE5_R_8_0,,DE,5,80,0,0.33,,DE5_R_8_0N,-43.80,0.07,-343.8,0.59,,,
-3.1551,-75.56372,DE5_R_8_3,,DE,5,80,0.3,0.67,,DE5_R_8_3N,-45.90,0.06,-360.2,0.41,,,
-3.1551,-75.56372,DE5_R_8_6,,DE,5,80,0.67,1,,DE5_R_8_6N,-47.00,0.05,-368.5,0.50,,,
-3.1551,-75.56372,DE5_R_9_0,,DE,5,90,0,0.33,,DE5_R_9_0NN,-42.34,0.02,-332.3,0.12,,,
-3.1551,-75.56372,DE5_R_9_3,,DE,5,90,0.3,0.67,,DE5_R_9_3N,-41.61,0.08,-325.8,0.59,,,
-3.1551,-75.56372,DE5_R_9_6,,DE,5,90,0.67,1,,DE5_R_9_6N,-45.17,0.09,-356.6,0.55,,,
-3.2267,-75.49515,C6_R_0_0,,C,6,0,0,0.33,,C6_R_0_0,-43.22,0.06,-339.8,0.38,,,
